Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
252.31,0.0,98.75,146.25,14.17,987.76,889.01,28
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14
284.0,15.0,141.0,179.0,5.46,842.0,801.0,3
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28
194.68,0.0,100.52,170.17,7.48,998.0,901.8,3
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,14
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,56
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14
387.0,20.0,94.0,157.0,11.61,938.0,845.0,7
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,100
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90
277.05,0.0,97.39,160.6,11.83,973.9,875.61,3
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3
491.0,26.0,123.0,201.0,3.93,822.0,699.0,28
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,100
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,56
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,100
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90
446.0,24.0,79.0,162.0,11.64,967.0,712.0,56
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28
451.0,0.0,0.0,165.0,11.25,1030.0,745.0,28
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,56
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,100
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28
153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7
290.35,0.0,96.18,168.08,9.41,961.18,865.0,3
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,56
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14
313.0,161.0,0.0,178.0,10.0,917.0,759.0,28
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270
202.0,11.0,141.0,206.0,1.72,942.0,801.0,3
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28
233.81,0.0,94.58,197.89,4.567,947.04,852.16,28
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28
249.1,0.0,98.75,158.11,12.8,987.76,889.01,100
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28
446.0,24.0,79.0,162.0,11.61,967.0,712.0,7
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,56
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28
